pile,hyp,comp,model,cype,diff
P7,TB3,My,0.43,0.5,-0.07
P7,TB3,Qx,0.0,0.0,0.0
P7,TB3,Qy,0.12,0.1,0.02
P7,TB3,T,0.0,0.0,0.0
P8,PP,N,100.45,100.5,-0.05
P8,PP,Mx,-0.0,0.0,-0.0
P8,PP,My,3.55,3.6,-0.05
P8,PP,Qx,-0.0,0.0,-0.0
P8,PP,Qy,1.5,1.5,-0.0
P8,PP,T,-0.0,0.0,-0.0
P8,CM,N,23.59,23.4,0.19
P8,CM,Mx,-0.0,0.0,-0.0
P8,CM,My,1.31,1.4,-0.09
P8,CM,Qx,-0.0,0.0,-0.0
P8,CM,Qy,0.55,0.6,-0.05
P8,CM,T,-0.0,0.0,-0.0
P8,Qa,N,202.24,200.6,1.64
P8,Qa,Mx,-0.0,0.0,-0.0
P8,Qa,My,11.23,11.8,-0.57
P8,Qa,Qx,-0.0,0.0,-0.0
P8,Qa,Qy,4.73,5.0,-0.27
P8,Qa,T,-0.0,0.0,-0.0
P8,TB1,N,-145.67,-143.6,-2.07
P8,TB1,Mx,-0.73,-0.5,-0.23
P8,TB1,My,-171.61,-169.0,-2.61
P8,TB1,Qx,-0.21,-0.1,-0.11
P8,TB1,Qy,-50.15,-49.3,-0.85
P8,TB1,T,0.36,0.1,0.26
P8,TB2,N,-0.5,-0.5,0.0
P8,TB2,Mx,-0.0,0.0,-0.0
P8,TB2,My,-0.49,-0.5,0.01
P8,TB2,Qx,-0.0,0.0,-0.0
P8,TB2,Qy,-0.15,-0.2,0.05
P8,TB2,T,-0.0,0.0,-0.0
P8,TB3,N,0.5,0.5,-0.0
P8,TB3,Mx,0.0,0.0,0.0
P8,TB3,My,0.49,0.5,-0.01
P8,TB3,Qx,0.0,0.0,0.0
P8,TB3,Qy,0.15,0.2,-0.05
P8,TB3,T,0.0,0.0,0.0
P13,PP,N,105.57,105.6,-0.03
P13,PP,Mx,0.28,0.1,0.18
P13,PP,My,-3.53,-3.5,-0.03
P13,PP,Qx,0.12,0.0,0.12
P13,PP,Qy,-1.46,-1.5,0.04
P13,PP,T,0.0,0.0,0.0
P13,CM,N,24.95,24.9,0.05
P13,CM,Mx,0.12,0.0,0.12
P13,CM,My,-1.29,-1.3,0.01
P13,CM,Qx,0.05,0.0,0.05
P13,CM,Qy,-0.54,-0.6,0.06
P13,CM,T,0.0,0.0,0.0
P13,Qa,N,213.84,213.7,0.14
