pile,hyp,comp,model,cype,diff
P6,Qa,N,196.18,194.4,1.78
P6,Qa,Mx,1.93,0.5,1.43
P6,Qa,My,-20.12,-20.7,0.58
P6,Qa,Qx,-0.45,-0.1,-0.35
P6,Qa,Qy,4.65,4.8,-0.15
P6,Qa,T,-0.0,0.0,-0.0
P6,TB1,N,-155.18,-154.8,-0.38
P6,TB1,Mx,0.49,0.6,-0.11
P6,TB1,My,167.42,166.5,0.92
P6,TB1,Qx,-0.15,-0.2,0.05
P6,TB1,Qy,-50.9,-50.7,-0.2
P6,TB1,T,0.33,0.1,0.23
P6,TB2,N,-5.13,-5.1,-0.03
P6,TB2,Mx,0.0,0.0,0.0
P6,TB2,My,1.34,1.3,0.04
P6,TB2,Qx,-0.0,-0.0,-0.0
P6,TB2,Qy,-0.34,-0.3,-0.04
P6,TB2,T,0.0,0.0,0.0
P6,TB3,N,5.13,5.1,0.03
P6,TB3,Mx,-0.0,-0.0,-0.0
P6,TB3,My,-1.34,-1.3,-0.04
P6,TB3,Qx,0.0,0.0,0.0
P6,TB3,Qy,0.34,0.3,0.04
P6,TB3,T,-0.0,0.0,-0.0
P7,PP,N,82.96,81.2,1.76
P7,PP,Mx,0.0,0.0,0.0
P7,PP,My,6.47,6.5,-0.03
P7,PP,Qx,-0.0,0.0,-0.0
P7,PP,Qy,-1.51,-1.5,-0.01
P7,PP,T,-0.0,0.0,-0.0
P7,CM,N,25.73,25.7,0.03
P7,CM,Mx,0.0,0.0,0.0
P7,CM,My,2.38,2.5,-0.12
P7,CM,Qx,-0.0,0.0,-0.0
P7,CM,Qy,-0.55,-0.6,0.05
P7,CM,T,-0.0,0.0,-0.0
P7,Qa,N,220.5,220.1,0.4
P7,Qa,Mx,0.0,0.0,0.0
P7,Qa,My,20.42,21.3,-0.88
P7,Qa,Qx,-0.0,0.0,-0.0
P7,Qa,Qy,-4.76,-5.0,0.24
P7,Qa,T,-0.0,0.0,-0.0
P7,TB1,N,143.79,142.8,0.99
P7,TB1,Mx,-0.73,-0.3,-0.43
P7,TB1,My,162.36,161.2,1.16
P7,TB1,Qx,0.23,0.1,0.13
P7,TB1,Qy,-49.55,-49.3,-0.25
P7,TB1,T,0.37,0.1,0.27
P7,TB2,N,0.56,0.4,0.16
P7,TB2,Mx,-0.0,0.0,-0.0
P7,TB2,My,0.4,0.5,-0.1
P7,TB2,Qx,0.0,0.0,0.0
P7,TB2,Qy,-0.13,-0.1,-0.03
P7,TB2,T,0.0,0.0,0.0
P7,TB3,N,-0.56,-0.4,-0.16
