pile,hyp,comp,model,cype,diff
P7,PP,Mx,0.0,0.0,0.0
P7,PP,My,-3.54,-3.6,0.06
P7,PP,Qx,0.0,0.0,0.0
P7,PP,Qy,-1.47,-1.5,0.03
P7,PP,T,0.0,0.0,0.0
P7,CM,N,25.7,25.7,0.0
P7,CM,Mx,0.0,0.0,0.0
P7,CM,My,-1.29,-1.4,0.11
P7,CM,Qx,0.0,0.0,0.0
P7,CM,Qy,-0.54,-0.6,0.06
P7,CM,T,0.0,0.0,0.0
P7,Qa,N,220.29,220.1,0.19
P7,Qa,Mx,0.0,0.0,0.0
P7,Qa,My,-11.07,-11.9,0.83
P7,Qa,Qx,0.0,0.0,0.0
P7,Qa,Qy,-4.62,-5.0,0.38
P7,Qa,T,0.0,0.0,0.0
P7,TB1,N,142.91,142.8,0.1
P7,TB1,Mx,0.76,0.6,0.16
P7,TB1,My,-168.8,-168.9,0.1
P7,TB1,Qx,0.22,0.1,0.12
P7,TB1,Qy,-49.23,-49.3,0.07
P7,TB1,T,0.36,0.1,0.26
P7,TB2,N,0.64,0.4,0.24
P7,TB2,Mx,0.0,0.0,0.0
P7,TB2,My,-0.49,-0.5,0.01
P7,TB2,Qx,0.0,0.0,0.0
P7,TB2,Qy,-0.14,-0.1,-0.04
P7,TB2,T,0.0,0.0,0.0
P7,TB3,N,-0.64,-0.4,-0.24
P7,TB3,Mx,-0.0,0.0,-0.0
P7,TB3,My,0.49,0.5,-0.01
P7,TB3,Qx,-0.0,0.0,-0.0
P7,TB3,Qy,0.14,0.1,0.04
P7,TB3,T,-0.0,0.0,-0.0
P8,PP,N,100.47,100.5,-0.03
P8,PP,Mx,-0.0,0.0,-0.0
P8,PP,My,3.49,3.6,-0.11
P8,PP,Qx,-0.0,0.0,-0.0
P8,PP,Qy,1.48,1.5,-0.02
P8,PP,T,0.0,0.0,0.0
P8,CM,N,23.57,23.4,0.17
P8,CM,Mx,-0.0,0.0,-0.0
P8,CM,My,1.28,1.4,-0.12
P8,CM,Qx,0.0,0.0,0.0
P8,CM,Qy,0.54,0.6,-0.06
P8,CM,T,0.0,0.0,0.0
P8,Qa,N,202.07,200.6,1.47
P8,Qa,Mx,-0.0,0.0,-0.0
P8,Qa,My,10.98,11.8,-0.82
P8,Qa,Qx,0.0,0.0,0.0
P8,Qa,Qy,4.64,5.0,-0.36
P8,Qa,T,0.0,0.0,0.0
P8,TB1,N,-143.69,-143.6,-0.09
P8,TB1,Mx,-0.77,-0.5,-0.27
P8,TB1,My,-168.95,-169.0,0.05
P8,TB1,Qx,-0.22,-0.1,-0.12
P8,TB1,Qy,-49.3,-49.3,0.0
P8,TB1,T,0.36,0.1,0.26
P8,TB2,N,-0.55,-0.5,-0.05
P8,TB2,Mx,-0.0,0.0,-0.0
P8,TB2,My,-0.55,-0.5,-0.05
P8,TB2,Qx,-0.0,0.0,-0.0
P8,TB2,Qy,-0.16,-0.2,0.04
P8,TB2,T,0.0,0.0,0.0
P8,TB3,N,0.55,0.5,0.05
P8,TB3,Mx,0.0,0.0,0.0
P8,TB3,My,0.55,0.5,0.05
P8,TB3,Qx,0.0,0.0,0.0
P8,TB3,Qy,0.16,0.2,-0.04
P8,TB3,T,-0.0,0.0,-0.0
P13,PP,N,105.51,105.6,-0.09
P13,PP,Mx,0.27,0.1,0.17
P13,PP,My,-3.47,-3.5,0.03
P13,PP,Qx,0.12,0.0,0.12
P13,PP,Qy,-1.44,-1.5,0.06
P13,PP,T,0.0,0.0,0.0
P13,CM,N,25.0,24.9,0.11
P13,CM,Mx,0.11,0.0,0.11
P13,CM,My,-1.27,-1.3,0.03
P13,CM,Qx,0.05,0.0,0.05
P13,CM,Qy,-0.53,-0.6,0.07
P13,CM,T,0.0,0.0,0.0
P13,Qa,N,214.33,213.7,0.63
P13,Qa,Mx,0.95,0.2,0.75
P13,Qa,My,-10.85,-11.4,0.55
P13,Qa,Qx,0.4,0.1,0.3
P13,Qa,Qy,-4.52,-4.7,0.18
P13,Qa,T,0.0,0.0,0.0
P13,TB1,N,151.33,151.6,-0.27
P13,TB1,Mx,0.77,0.6,0.17
P13,TB1,My,-163.01,-162.9,-0.11
P13,TB1,Qx,0.22,0.1,0.12
P13,TB1,Qy,-47.18,-47.2,0.02
P13,TB1,T,0.36,0.1,0.26
P13,TB2,N,57.99,58.1,-0.11
P13,TB2,Mx,0.0,0.0,0.0
P13,TB2,My,1.26,1.3,-0.04
P13,TB2,Qx,0.0,0.0,0.0
P13,TB2,Qy,0.59,0.6,-0.01
P13,TB2,T,0.0,0.0,0.0
P13,TB3,N,-57.99,-58.1,0.11
P13,TB3,Mx,-0.0,-0.0,-0.0
P13,TB3,My,-1.26,-1.3,0.04
P13,TB3,Qx,-0.0,-0.0,-0.0
P13,TB3,Qy,-0.59,-0.6,0.01
P13,TB3,T,-0.0,0.0,-0.0
P14,PP,N,98.93,98.7,0.23
P14,PP,Mx,0.27,0.1,0.17
P14,PP,My,3.42,3.4,0.02
P14,PP,Qx,0.11,0.0,0.11
P14,PP,Qy,1.45,1.5,-0.05
P14,PP,T,0.0,0.0,0.0
P14,CM,N,22.95,22.7,0.25
P14,CM,Mx,0.11,0.0,0.11
P14,CM,My,1.25,1.3,-0.05
P14,CM,Qx,0.04,0.0,0.04
P14,CM,Qy,0.53,0.6,-0.07
P14,CM,T,0.0,0.0,0.0
P14,Qa,N,196.67,194.4,2.27
P14,Qa,Mx,0.93,0.3,0.63
P14,Qa,My,10.74,11.3,-0.56
P14,Qa,Qx,0.39,0.1,0.29
P14,Qa,Qy,4.54,4.8,-0.26
P14,Qa,T,0.0,0.0,0.0
P14,TB1,N,-150.58,-150.9,0.32
P14,TB1,Mx,-0.77,-0.5,-0.27
P14,TB1,My,-167.12,-167.2,0.08
P14,TB1,Qx,-0.22,-0.1,-0.12
P14,TB1,Qy,-48.91,-48.9,-0.01
P14,TB1,T,0.36,0.1,0.26
P14,TB2,N,-5.08,-5.1,0.02
P14,TB2,Mx,0.0,0.0,0.0
P14,TB2,My,-0.94,-1.0,0.06
P14,TB2,Qx,0.0,0.0,0.0
P14,TB2,Qy,-0.33,-0.3,-0.03
P14,TB2,T,0.0,0.0,0.0
P14,TB3,N,5.08,5.1,-0.02
P14,TB3,Mx,-0.0,-0.0,-0.0
P14,TB3,My,0.94,1.0,-0.06
P14,TB3,Qx,-0.0,-0.0,-0.0
P14,TB3,Qy,0.33,0.3,0.03
P14,TB3,T,-0.0,0.0,-0.0
P15,PP,N,112.61,112.3,0.31
P15,PP,Mx,-1.42,-0.5,-0.92
P15,PP,My,-3.8,-3.9,0.1
P15,PP,Qx,-0.6,-0.2,-0.4
P15,PP,Qy,-1.58,-1.6,0.02
P15,PP,T,0.0,0.0,0.0
P15,CM,N,27.9,27.5,0.4
P15,CM,Mx,-0.58,-0.1,-0.48
P15,CM,My,-1.4,-1.5,0.1
P15,CM,Qx,-0.24,-0.1,-0.14
P15,CM,Qy,-0.59,-0.6,0.01
P15,CM,T,0.0,0.0,0.0
P15,Qa,N,239.11,235.7,3.41
P15,Qa,Mx,-4.93,-1.2,-3.73
P15,Qa,My,-12.04,-13.0,0.96
P15,Qa,Qx,-2.07,-0.5,-1.57
P15,Qa,Qy,-5.02,-5.4,0.38
P15,Qa,T,0.0,0.0,0.0
P15,TB1,N,139.22,138.3,0.92
P15,TB1,Mx,0.71,0.8,-0.09
P15,TB1,My,-162.82,-162.8,-0.02
P15,TB1,Qx,0.2,0.2,-0.0
P15,TB1,Qy,-47.49,-47.5,0.01
P15,TB1,T,0.36,0.1,0.26
P15,TB2,N,0.64,0.6,0.04
P15,TB2,Mx,-0.0,-0.1,0.1
P15,TB2,My,-0.49,-0.5,0.01
P15,TB2,Qx,-0.0,-0.0,-0.0
P15,TB2,Qy,-0.14,-0.1,-0.04
P15,TB2,T,0.0,0.0,0.0
P15,TB3,N,-0.64,-0.6,-0.04
P15,TB3,Mx,0.0,0.1,-0.1
P15,TB3,My,0.49,0.5,-0.01
P15,TB3,Qx,0.0,0.0,0.0
P15,TB3,Qy,0.14,0.1,0.04
P15,TB3,T,-0.0,0.0,-0.0
P16,PP,N,77.81,75.2,2.61
P16,PP,Mx,5.39,3.5,1.89
P16,PP,My,-1.81,-1.9,0.09
P16,PP,Qx,2.26,1.5,0.76
P16,PP,Qy,-0.75,-0.8,0.05
P16,PP,T,0.0,0.0,0.0
P16,CM,N,12.75,12.6,0.15
P16,CM,Mx,1.98,1.1,0.88
P16,CM,My,-0.49,-0.5,0.01
P16,CM,Qx,0.83,0.5,0.33
P16,CM,Qy,-0.2,-0.2,0.0
P16,CM,T,0.0,0.0,0.0
P16,Qa,N,109.3,107.6,1.7
P16,Qa,Mx,16.99,9.4,7.59
P16,Qa,My,-4.16,-4.6,0.44
P16,Qa,Qx,7.14,4.0,3.14
P16,Qa,Qy,-1.72,-1.9,0.18
P16,Qa,T,0.0,0.0,0.0
P16,TB1,N,116.03,116.5,-0.47
P16,TB1,Mx,0.75,-3.5,4.25
P16,TB1,My,-159.75,-159.5,-0.25
P16,TB1,Qx,0.21,-1.6,1.81
P16,TB1,Qy,-46.58,-46.5,-0.08
P16,TB1,T,0.36,0.1,0.26
P16,TB2,N,58.26,58.1,0.16
P16,TB2,Mx,-0.08,-0.7,0.62
P16,TB2,My,0.93,0.9,0.03
P16,TB2,Qx,-0.04,-0.3,0.27
P16,TB2,Qy,0.46,0.5,-0.04
P16,TB2,T,0.0,0.0,0.0
P16,TB3,N,-58.26,-58.1,-0.16
P16,TB3,Mx,0.08,0.7,-0.62
P16,TB3,My,-0.93,-0.9,-0.03
P16,TB3,Qx,0.04,0.3,-0.27
P16,TB3,Qy,-0.46,-0.5,0.04
P16,TB3,T,-0.0,0.0,-0.0
P17,PP,N,105.39,105.2,0.19
P17,PP,Mx,-1.39,-0.6,-0.79
P17,PP,My,3.76,3.9,-0.14
P17,PP,Qx,-0.58,-0.3,-0.28
P17,PP,Qy,1.59,1.7,-0.1
P17,PP,T,0.0,0.0,0.0
P17,CM,N,25.57,25.3,0.27
P17,CM,Mx,-0.56,-0.2,-0.36
P17,CM,My,1.4,1.5,-0.1
P17,CM,Qx,-0.23,-0.1,-0.13
P17,CM,Qy,0.59,0.6,-0.01
P17,CM,T,0.0,0.0,0.0
P17,Qa,N,219.19,216.5,2.69
P17,Qa,Mx,-4.8,-1.7,-3.1
P17,Qa,My,11.98,12.9,-0.92
P17,Qa,Qx,-2.02,-0.7,-1.32
P17,Qa,Qy,5.06,5.5,-0.44
P17,Qa,T,0.0,0.0,0.0
P17,TB1,N,-139.69,-138.5,-1.19
P17,TB1,Mx,-0.78,-1.1,0.32
P17,TB1,My,-162.94,-162.9,-0.04
P17,TB1,Qx,-0.23,-0.4,0.17
P17,TB1,Qy,-47.54,-47.5,-0.04
P17,TB1,T,0.36,0.1,0.26
P17,TB2,N,-0.51,-0.4,-0.11
P17,TB2,Mx,-0.01,-0.0,-0.01
P17,TB2,My,-0.54,-0.5,-0.04
P17,TB2,Qx,-0.0,-0.0,-0.0
P17,TB2,Qy,-0.16,-0.2,0.04
P17,TB2,T,0.0,0.0,0.0
P17,TB3,N,0.51,0.4,0.11
P17,TB3,Mx,0.01,0.0,0.01
P17,TB3,My,0.54,0.5,0.04
P17,TB3,Qx,0.0,0.0,0.0
P17,TB3,Qy,0.16,0.2,-0.04
P17,TB3,T,-0.0,0.0,-0.0
P18,PP,N,73.5,71.0,2.5
P18,PP,Mx,5.37,4.3,1.07
P18,PP,My,1.68,1.8,-0.12
P18,PP,Qx,2.25,1.8,0.45
P18,PP,Qy,0.72,0.8,-0.08
P18,PP,T,0.0,0.0,0.0
P18,CM,N,11.69,11.3,0.39
P18,CM,Mx,1.97,1.3,0.67
P18,CM,My,0.45,0.5,-0.05
P18,CM,Qx,0.83,0.5,0.33
P18,CM,Qy,0.19,0.2,-0.01
P18,CM,T,0.0,0.0,0.0
P18,Qa,N,100.21,96.7,3.51
P18,Qa,Mx,16.91,11.1,5.81
P18,Qa,My,3.84,4.3,-0.46
P18,Qa,Qx,7.1,4.7,2.4
P18,Qa,Qy,1.65,1.8,-0.15
P18,Qa,T,0.0,0.0,0.0
P18,TB1,N,-132.91,-133.7,0.79
P18,TB1,Mx,-0.77,3.0,-3.77
P18,TB1,My,-163.03,-162.8,-0.23
P18,TB1,Qx,-0.22,1.3,-1.52
P18,TB1,Qy,-47.96,-47.9,-0.06
P18,TB1,T,0.36,0.1,0.26
P18,TB2,N,-5.34,-5.3,-0.04
P18,TB2,Mx,-0.04,0.2,-0.24
P18,TB2,My,-0.81,-0.8,-0.01
P18,TB2,Qx,-0.02,0.1,-0.12
P18,TB2,Qy,-0.27,-0.3,0.03
P18,TB2,T,0.0,0.0,0.0
P18,TB3,N,5.34,5.3,0.04
P18,TB3,Mx,0.04,-0.2,0.24
P18,TB3,My,0.81,0.8,0.01
P18,TB3,Qx,0.02,-0.1,0.12
P18,TB3,Qy,0.27,0.3,-0.03
P18,TB3,T,-0.0,0.0,-0.0
