family,pile,where,what,model,model_comb,cype,cype_comb,diff_%
CIM,P3,cabeza,N min,115.2,17,112.5,17,2.4
CIM,P3,cabeza,|My| max,306.1,8,309.1,8,-1.0
CIM,P3,cabeza,|Mx| max,-20.9,10,-5.7,16,267.0
CIM,P4,base,N max,560.7,22,555.6,22,0.9
CIM,P4,base,N min,-105.0,5,-103.6,5,1.3
CIM,P4,base,|My| max,-274.7,5,-274.8,5,-0.0
CIM,P4,base,|Mx| max,10.8,16,4.0,4,170.2
CIM,P4,cabeza,N max,521.9,22,513.5,22,1.6
CIM,P4,cabeza,N min,-129.3,5,-129.9,5,-0.5
CIM,P4,cabeza,|My| max,257.8,5,257.5,5,0.1
CIM,P4,cabeza,|Mx| max,-19.6,16,-7.8,10,152.1
CIM,P5,base,N max,700.7,10,700.1,10,0.1
CIM,P5,base,N min,37.7,17,37.5,17,0.5
CIM,P5,base,|My| max,-290.1,8,-290.8,8,-0.2
CIM,P5,base,|Mx| max,-2.1,16,0.9,5,
CIM,P5,cabeza,N max,661.9,10,658.0,10,0.6
CIM,P5,cabeza,N min,13.4,17,11.2,17,19.5
CIM,P5,cabeza,|My| max,289.5,8,291.0,8,-0.5
CIM,P5,cabeza,|Mx| max,3.9,16,1.1,4,246.1
CIM,P6,base,N max,514.5,22,510.2,22,0.9
CIM,P6,base,N min,-125.3,5,-126.3,5,-0.8
CIM,P6,base,|My| max,-272.3,5,-272.6,5,-0.1
CIM,P6,base,|Mx| max,-2.9,8,-1.5,8,98.0
CIM,P6,cabeza,N max,475.7,22,468.1,22,1.6
CIM,P6,cabeza,N min,-149.6,5,-152.6,5,-2.0
CIM,P6,cabeza,|My| max,257.5,5,257.6,5,-0.0
CIM,P6,cabeza,|Mx| max,4.5,10,2.0,8,123.5
CIM,P7,base,N max,702.3,10,702.4,10,-0.0
CIM,P7,base,N min,131.9,17,132.6,17,-0.5
CIM,P7,base,|My| max,-290.2,8,-291.6,8,-0.5
CIM,P7,base,|Mx| max,1.2,8,1.0,5,
CIM,P7,cabeza,N max,663.5,10,660.3,10,0.5
CIM,P7,cabeza,N min,107.6,17,106.3,17,1.3
CIM,P7,cabeza,|My| max,293.7,8,296.2,8,-0.8
CIM,P7,cabeza,|Mx| max,-1.1,8,-0.5,5,
CIM,P8,base,N max,522.3,22,519.7,22,0.5
CIM,P8,base,N min,-105.9,5,-105.9,5,-0.0
CIM,P8,base,|My| max,-265.6,5,-265.4,5,0.1
CIM,P8,base,|Mx| max,-1.2,8,-0.8,5,
CIM,P8,cabeza,N max,483.4,22,477.6,22,1.2
CIM,P8,cabeza,N min,-130.2,5,-132.2,5,-1.5
CIM,P8,cabeza,|My| max,249.3,5,249.1,5,0.1
CIM,P8,cabeza,|Mx| max,1.1,5,0.6,5,
CIM,P13,base,N max,697.0,10,696.3,10,0.1
CIM,P13,base,N min,37.7,17,37.5,17,0.5
CIM,P13,base,|My| max,-280.5,8,-281.1,8,-0.2
CIM,P13,base,|Mx| max,2.9,8,1.3,8,116.6
CIM,P13,cabeza,N max,658.2,10,654.2,10,0.6
CIM,P13,cabeza,N min,13.4,17,11.2,17,19.5
CIM,P13,cabeza,|My| max,280.3,8,281.6,8,-0.4
CIM,P13,cabeza,|Mx| max,-4.6,10,-1.3,10,248.1
CIM,P14,base,N max,514.5,22,510.2,22,0.9
CIM,P14,base,N min,-119.1,5,-120.0,5,-0.8
CIM,P14,base,|My| max,-262.7,5,-262.8,5,-0.0
CIM,P14,base,|Mx| max,2.1,16,-0.7,5,
CIM,P14,cabeza,N max,475.7,22,468.1,22,1.6
CIM,P14,cabeza,N min,-143.4,5,-146.3,5,-2.0
CIM,P14,cabeza,|My| max,248.3,5,248.3,5,0.0
CIM,P14,cabeza,|Mx| max,-3.8,16,-1.3,4,195.3
CIM,P15,base,N max,741.0,10,733.6,10,1.0
CIM,P15,base,N min,139.5,17,138.8,17,0.5
CIM,P15,base,|My| max,-282.3,8,-283.7,8,-0.5
CIM,P15,base,|Mx| max,-11.1,16,-3.0,16,272.8
CIM,P15,cabeza,N max,702.2,10,691.5,10,1.5
CIM,P15,cabeza,N min,115.2,17,112.5,17,2.4
CIM,P15,cabeza,|My| max,287.7,8,290.4,8,-0.9
CIM,P15,cabeza,|Mx| max,20.1,16,5.7,16,253.3
CIM,P16,base,N max,453.0,8,447.4,8,1.2
CIM,P16,base,N min,-2.6,17,-5.2,17,-48.8
CIM,P16,base,|My| max,-263.9,8,-264.2,8,-0.1
CIM,P16,base,|Mx| max,39.7,10,23.1,22,72.1
CIM,P16,cabeza,N max,414.1,8,405.5,8,2.1
CIM,P16,cabeza,N min,-26.9,17,-31.4,17,-14.1
CIM,P16,cabeza,|My| max,258.5,8,259.2,8,-0.3
CIM,P16,cabeza,|Mx| max,-71.4,10,-41.9,22,70.4
CIM,P17,base,N max,560.7,22,555.6,22,0.9
CIM,P17,base,N min,-92.6,5,-91.1,5,1.6
CIM,P17,base,|My| max,-255.5,5,-255.2,5,0.1
CIM,P17,base,|Mx| max,-11.6,10,-5.1,10,128.4
CIM,P17,cabeza,N max,521.9,22,513.5,22,1.6
CIM,P17,cabeza,N min,-116.8,5,-117.4,5,-0.5
CIM,P17,cabeza,|My| max,239.4,5,238.8,5,0.3
CIM,P17,cabeza,|Mx| max,20.3,10,8.5,10,137.5
CIM,P18,base,N max,301.8,22,291.5,22,3.5
CIM,P18,base,N min,-127.5,5,-131.6,5,-3.2
CIM,P18,base,|My| max,-258.7,5,-258.2,5,0.2
CIM,P18,base,|Mx| max,38.8,22,29.6,10,31.2
CIM,P18,cabeza,N max,262.9,22,249.4,22,5.4
CIM,P18,cabeza,N min,-151.8,5,-157.9,5,-3.9
CIM,P18,cabeza,|My| max,249.3,5,248.6,5,0.3
CIM,P18,cabeza,|Mx| max,-70.5,22,-54.1,10,30.3
ELS,P1,base,N max,344.5,4,340.8,4,1.1
ELS,P1,base,N min,32.3,7,29.7,7,8.8
ELS,P1,base,|My| max,-184.4,4,-184.9,4,-0.3
ELS,P1,base,|Mx| max,-24.4,8,-14.7,8,66.3
ELS,P1,cabeza,N max,320.3,4,314.6,4,1.8
ELS,P1,cabeza,N min,8.0,7,3.5,7,129.0
ELS,P1,cabeza,|My| max,181.2,4,182.1,4,-0.5
ELS,P1,cabeza,|Mx| max,44.4,8,26.7,8,66.1
ELS,P2,base,N max,190.7,8,184.3,8,3.5
ELS,P2,base,N min,-59.4,3,-63.3,3,-6.2
ELS,P2,base,|My| max,-179.0,3,-178.9,3,0.1
ELS,P2,base,|Mx| max,-25.0,4,-21.0,4,19.1
ELS,P2,cabeza,N max,166.4,8,158.0,8,5.3
ELS,P2,cabeza,N min,-83.7,3,-89.6,3,-6.6
ELS,P2,cabeza,|My| max,171.8,3,171.6,3,0.1
ELS,P2,cabeza,|Mx| max,44.7,4,37.5,4,19.2
ELS,P3,base,N max,526.6,4,521.7,4,0.9
ELS,P3,base,N min,139.9,7,139.2,7,0.5
ELS,P3,base,|My| max,-192.1,4,-193.4,4,-0.7
ELS,P3,base,|Mx| max,7.8,4,2.2,4,252.6
ELS,P3,cabeza,N max,502.3,4,495.4,4,1.4
ELS,P3,cabeza,N min,115.6,7,112.9,7,2.4
ELS,P3,cabeza,|My| max,197.8,4,200.2,4,-1.2
ELS,P3,cabeza,|Mx| max,-13.4,4,-3.6,6,272.1
ELS,P4,base,N max,350.7,8,347.4,8,0.9
ELS,P4,base,N min,-16.5,3,-15.8,3,4.4
ELS,P4,base,|My| max,-169.8,3,-169.7,3,0.0
ELS,P4,base,|Mx| max,6.8,6,2.5,2,170.3
ELS,P4,cabeza,N max,326.4,8,321.1,8,1.6
ELS,P4,cabeza,N min,-40.8,3,-42.1,3,-3.1
ELS,P4,cabeza,|My| max,157.6,3,157.2,3,0.2
ELS,P4,cabeza,|Mx| max,-12.3,6,-5.1,4,140.4
ELS,P5,base,N max,500.0,4,499.8,4,0.1
ELS,P5,base,N min,72.5,7,72.4,7,0.2
ELS,P5,base,|My| max,-184.6,4,-185.2,4,-0.3
ELS,P5,base,|Mx| max,-1.3,6,0.5,3,
ELS,P5,cabeza,N max,475.8,4,473.5,4,0.5
ELS,P5,cabeza,N min,48.2,7,46.1,7,4.6
ELS,P5,cabeza,|My| max,186.8,4,188.0,4,-0.6
ELS,P5,cabeza,|Mx| max,2.4,6,0.7,2,
ELS,P6,base,N max,323.6,8,320.9,8,0.8
ELS,P6,base,N min,-32.6,3,-33.4,3,-2.4
ELS,P6,base,|My| max,-168.4,3,-168.6,3,-0.1
ELS,P6,base,|Mx| max,-2.1,4,-1.0,4,
ELS,P6,cabeza,N max,299.3,8,294.6,8,1.6
ELS,P6,cabeza,N min,-56.9,3,-59.7,3,-4.7
ELS,P6,cabeza,|My| max,157.7,3,157.7,3,0.0
ELS,P6,cabeza,|Mx| max,3.1,4,1.4,4,120.1
ELS,P7,base,N max,496.1,4,496.1,4,0.0
ELS,P7,base,N min,132.3,7,132.8,7,-0.4
ELS,P7,base,|My| max,-184.7,4,-185.8,4,-0.6
ELS,P7,base,|Mx| max,0.8,4,0.6,3,
ELS,P7,cabeza,N max,471.8,4,469.8,4,0.4
ELS,P7,cabeza,N min,108.0,7,106.5,7,1.4
ELS,P7,cabeza,|My| max,189.6,4,191.5,4,-1.0
ELS,P7,cabeza,|Mx| max,-0.7,4,-0.3,3,
ELS,P8,base,N max,326.7,8,325.0,8,0.5
ELS,P8,base,N min,-19.6,3,-19.7,3,-0.3
ELS,P8,base,|My| max,-164.2,3,-164.0,3,0.1
ELS,P8,base,|Mx| max,-0.8,4,-0.5,3,
ELS,P8,cabeza,N max,302.4,8,298.7,8,1.2
ELS,P8,cabeza,N min,-43.9,3,-46.0,3,-4.5
ELS,P8,cabeza,|My| max,152.5,3,152.3,3,0.2
ELS,P8,cabeza,|Mx| max,0.7,3,0.4,3,
ELS,P13,base,N max,496.2,4,495.8,4,0.1
ELS,P13,base,N min,72.5,7,72.4,7,0.2
ELS,P13,base,|My| max,-178.6,4,-179.1,4,-0.3
ELS,P13,base,|Mx| max,2.1,4,0.9,4,
ELS,P13,cabeza,N max,471.9,4,469.5,4,0.5
ELS,P13,cabeza,N min,48.2,7,46.1,7,4.6
ELS,P13,cabeza,|My| max,181.1,4,182.1,4,-0.6
ELS,P13,cabeza,|Mx| max,-3.1,4,-0.9,4,
ELS,P14,base,N max,323.6,8,320.9,8,0.8
ELS,P14,base,N min,-28.7,3,-29.5,3,-2.7
ELS,P14,base,|My| max,-162.4,3,-162.5,3,-0.0
ELS,P14,base,|Mx| max,1.3,6,0.4,2,
ELS,P14,cabeza,N max,299.3,8,294.6,8,1.6
