family,pile,where,what,model,model_comb,cype,cype_comb,diff_%
CIM,P8,cabeza,|My| max,251.2,5,249.1,5,0.8
CIM,P8,cabeza,|Mx| max,1.0,8,0.6,5,
CIM,P13,base,N max,696.7,10,696.3,10,0.1
CIM,P13,base,N min,37.5,17,37.5,17,-0.2
CIM,P13,base,|My| max,-282.0,8,-281.1,8,0.3
CIM,P13,base,|Mx| max,3.4,8,1.3,8,154.7
CIM,P13,cabeza,N max,657.8,10,654.2,10,0.6
CIM,P13,cabeza,N min,13.2,17,11.2,17,17.1
CIM,P13,cabeza,|My| max,282.9,8,281.6,8,0.5
CIM,P13,cabeza,|Mx| max,-5.3,10,-1.3,10,300.8
CIM,P14,base,N max,513.6,22,510.2,22,0.7
CIM,P14,base,N min,-120.4,5,-120.0,5,0.3
CIM,P14,base,|My| max,-263.6,5,-262.8,5,0.3
CIM,P14,base,|Mx| max,2.4,16,-0.7,5,
CIM,P14,cabeza,N max,474.7,22,468.1,22,1.4
CIM,P14,cabeza,N min,-144.7,5,-146.3,5,-1.1
CIM,P14,cabeza,|My| max,250.1,5,248.3,5,0.7
CIM,P14,cabeza,|Mx| max,-4.3,16,-1.3,4,236.2
CIM,P15,base,N max,746.2,10,733.6,10,1.7
CIM,P15,base,N min,140.4,17,138.8,17,1.1
CIM,P15,base,|My| max,-282.5,8,-283.7,8,-0.4
CIM,P15,base,|Mx| max,-12.9,22,-3.0,16,332.0
CIM,P15,cabeza,N max,707.4,10,691.5,10,2.3
CIM,P15,cabeza,N min,116.1,17,112.5,17,3.1
CIM,P15,cabeza,|My| max,289.2,8,290.4,8,-0.4
CIM,P15,cabeza,|Mx| max,23.2,22,5.7,16,307.1
CIM,P16,base,N max,448.8,8,447.4,8,0.3
CIM,P16,base,N min,-3.4,17,-5.2,17,-34.3
CIM,P16,base,|My| max,-261.9,8,-264.2,8,-0.9
CIM,P16,base,|Mx| max,31.2,10,23.1,22,35.4
CIM,P16,cabeza,N max,409.9,8,405.5,8,1.1
CIM,P16,cabeza,N min,-27.7,17,-31.4,17,-11.7
CIM,P16,cabeza,|My| max,257.6,8,259.2,8,-0.6
CIM,P16,cabeza,|Mx| max,-55.4,10,-41.9,22,32.3
CIM,P17,base,N max,565.3,22,555.6,22,1.7
CIM,P17,base,N min,-91.8,5,-91.1,5,0.8
CIM,P17,base,|My| max,-254.8,5,-255.2,5,-0.2
CIM,P17,base,|Mx| max,-13.5,10,-5.1,10,167.2
CIM,P17,cabeza,N max,526.4,22,513.5,22,2.5
CIM,P17,cabeza,N min,-116.1,5,-117.4,5,-1.1
CIM,P17,cabeza,|My| max,239.5,5,238.8,5,0.3
CIM,P17,cabeza,|Mx| max,23.4,10,8.5,10,174.2
CIM,P18,base,N max,298.0,22,291.5,22,2.2
CIM,P18,base,N min,-127.2,5,-131.6,5,-3.4
CIM,P18,base,|My| max,-256.2,5,-258.2,5,-0.8
CIM,P18,base,|Mx| max,30.1,22,29.6,10,1.7
CIM,P18,cabeza,N max,259.2,22,249.4,22,3.9
CIM,P18,cabeza,N min,-151.5,5,-157.9,5,-4.1
CIM,P18,cabeza,|My| max,247.6,5,248.6,5,-0.4
CIM,P18,cabeza,|Mx| max,-54.3,22,-54.1,10,0.4
ELS,P1,base,N max,341.4,4,340.8,4,0.2
ELS,P1,base,N min,31.6,7,29.7,7,6.4
ELS,P1,base,|My| max,-183.2,4,-184.9,4,-0.9
ELS,P1,base,|Mx| max,-19.0,8,-14.7,8,29.0
ELS,P1,cabeza,N max,317.1,4,314.6,4,0.8
ELS,P1,cabeza,N min,7.3,7,3.5,7,109.0
ELS,P1,cabeza,|My| max,180.9,4,182.1,4,-0.7
ELS,P1,cabeza,|Mx| max,34.2,8,26.7,8,28.0
ELS,P2,base,N max,188.4,8,184.3,8,2.2
ELS,P2,base,N min,-59.5,3,-63.3,3,-6.0
ELS,P2,base,|My| max,-177.5,3,-178.9,3,-0.8
ELS,P2,base,|Mx| max,-19.3,4,-21.0,4,-8.3
ELS,P2,cabeza,N max,164.1,8,158.0,8,3.9
ELS,P2,cabeza,N min,-83.8,3,-89.6,3,-6.5
ELS,P2,cabeza,|My| max,170.7,3,171.6,3,-0.5
ELS,P2,cabeza,|Mx| max,34.3,4,37.5,4,-8.4
ELS,P3,base,N max,529.8,4,521.7,4,1.5
ELS,P3,base,N min,140.7,7,139.2,7,1.1
ELS,P3,base,|My| max,-192.2,4,-193.4,4,-0.6
ELS,P3,base,|Mx| max,8.7,4,2.2,4,293.3
ELS,P3,cabeza,N max,505.5,4,495.4,4,2.0
ELS,P3,cabeza,N min,116.4,7,112.9,7,3.1
ELS,P3,cabeza,|My| max,198.8,4,200.2,4,-0.7
ELS,P3,cabeza,|Mx| max,-15.1,4,-3.6,6,318.9
ELS,P4,base,N max,353.5,8,347.4,8,1.8
ELS,P4,base,N min,-15.7,3,-15.8,3,-0.6
ELS,P4,base,|My| max,-169.2,3,-169.7,3,-0.3
ELS,P4,base,|Mx| max,7.8,6,2.5,2,211.5
ELS,P4,cabeza,N max,329.2,8,321.1,8,2.5
ELS,P4,cabeza,N min,-40.0,3,-42.1,3,-5.0
ELS,P4,cabeza,|My| max,157.4,3,157.2,3,0.2
ELS,P4,cabeza,|Mx| max,-14.0,6,-5.1,4,175.2
ELS,P5,base,N max,500.1,4,499.8,4,0.1
ELS,P5,base,N min,72.3,7,72.4,7,-0.1
ELS,P5,base,|My| max,-185.5,4,-185.2,4,0.2
ELS,P5,base,|Mx| max,-1.5,8,0.5,3,
ELS,P5,cabeza,N max,475.8,4,473.5,4,0.5
ELS,P5,cabeza,N min,48.0,7,46.1,7,4.1
ELS,P5,cabeza,|My| max,188.5,4,188.0,4,0.2
ELS,P5,cabeza,|Mx| max,2.8,6,0.7,2,
ELS,P6,base,N max,323.0,8,320.9,8,0.7
ELS,P6,base,N min,-33.5,3,-33.4,3,0.2
ELS,P6,base,|My| max,-168.8,3,-168.6,3,0.1
ELS,P6,base,|Mx| max,-2.0,4,-1.0,4,
ELS,P6,cabeza,N max,298.7,8,294.6,8,1.4
ELS,P6,cabeza,N min,-57.8,3,-59.7,3,-3.3
ELS,P6,cabeza,|My| max,158.7,3,157.7,3,0.6
ELS,P6,cabeza,|Mx| max,3.2,4,1.4,4,126.6
ELS,P7,base,N max,497.3,4,496.1,4,0.2
ELS,P7,base,N min,132.4,7,132.8,7,-0.3
ELS,P7,base,|My| max,-186.0,4,-185.8,4,0.1
ELS,P7,base,|Mx| max,0.8,3,0.6,3,
ELS,P7,cabeza,N max,473.0,4,469.8,4,0.7
ELS,P7,cabeza,N min,108.1,7,106.5,7,1.5
ELS,P7,cabeza,|My| max,191.6,4,191.5,4,0.1
ELS,P7,cabeza,|Mx| max,-0.7,3,-0.3,3,
ELS,P8,base,N max,326.8,8,325.0,8,0.6
ELS,P8,base,N min,-20.4,3,-19.7,3,3.6
ELS,P8,base,|My| max,-164.8,3,-164.0,3,0.5
ELS,P8,base,|Mx| max,-0.7,4,-0.5,3,
ELS,P8,cabeza,N max,302.5,8,298.7,8,1.3
ELS,P8,cabeza,N min,-44.7,3,-46.0,3,-2.8
ELS,P8,cabeza,|My| max,153.7,3,152.3,3,0.9
ELS,P8,cabeza,|Mx| max,0.6,4,0.4,3,
