pile,hyp,comp,model,cype,diff
P5,TB2,T,0.0,0.0,0.0
P5,TB3,N,-57.99,-58.1,0.11
P5,TB3,Mx,-0.0,-0.0,-0.0
P5,TB3,My,2.73,2.7,0.03
P5,TB3,Qx,0.0,0.0,0.0
P5,TB3,Qy,-0.59,-0.6,0.01
P5,TB3,T,-0.0,0.0,-0.0
P6,PP,N,74.63,72.4,2.23
P6,PP,Mx,0.48,0.2,0.28
P6,PP,My,-6.31,-6.4,0.09
P6,PP,Qx,-0.11,-0.0,-0.11
P6,PP,Qy,1.45,1.5,-0.05
P6,PP,T,0.0,0.0,0.0
P6,CM,N,22.95,22.7,0.25
P6,CM,Mx,0.2,0.1,0.1
P6,CM,My,-2.3,-2.4,0.1
P6,CM,Qx,-0.04,-0.0,-0.04
P6,CM,Qy,0.53,0.6,-0.07
P6,CM,T,0.0,0.0,0.0
P6,Qa,N,196.67,194.4,2.27
P6,Qa,Mx,1.68,0.5,1.18
P6,Qa,My,-19.7,-20.7,1.0
P6,Qa,Qx,-0.39,-0.1,-0.29
P6,Qa,Qy,4.54,4.8,-0.26
P6,Qa,T,0.0,0.0,0.0
P6,TB1,N,-154.47,-154.8,0.33
P6,TB1,Mx,0.72,0.6,0.12
P6,TB1,My,166.32,166.5,-0.18
P6,TB1,Qx,-0.22,-0.2,-0.02
P6,TB1,Qy,-50.66,-50.7,0.04
P6,TB1,T,0.36,0.1,0.26
P6,TB2,N,-5.08,-5.1,0.02
P6,TB2,Mx,0.0,0.0,0.0
P6,TB2,My,1.27,1.3,-0.03
P6,TB2,Qx,-0.0,-0.0,-0.0
P6,TB2,Qy,-0.33,-0.3,-0.03
P6,TB2,T,0.0,0.0,0.0
P6,TB3,N,5.08,5.1,-0.02
P6,TB3,Mx,-0.0,-0.0,-0.0
P6,TB3,My,-1.27,-1.3,0.03
P6,TB3,Qx,0.0,0.0,0.0
P6,TB3,Qy,0.33,0.3,0.03
P6,TB3,T,-0.0,0.0,-0.0
P7,PP,N,82.92,81.2,1.72
P7,PP,Mx,-0.0,0.0,-0.0
P7,PP,My,6.32,6.5,-0.18
P7,PP,Qx,0.0,0.0,0.0
P7,PP,Qy,-1.47,-1.5,0.03
P7,PP,T,0.0,0.0,0.0
P7,CM,N,25.7,25.7,0.0
P7,CM,Mx,-0.0,0.0,-0.0
P7,CM,My,2.32,2.5,-0.18
P7,CM,Qx,0.0,0.0,0.0
P7,CM,Qy,-0.54,-0.6,0.06
P7,CM,T,0.0,0.0,0.0
P7,Qa,N,220.29,220.1,0.19
P7,Qa,Mx,-0.0,0.0,-0.0
P7,Qa,My,19.87,21.3,-1.43
P7,Qa,Qx,0.0,0.0,0.0
P7,Qa,Qy,-4.62,-5.0,0.38
P7,Qa,T,0.0,0.0,0.0
P7,TB1,N,142.91,142.8,0.1
P7,TB1,Mx,-0.71,-0.3,-0.41
P7,TB1,My,161.05,161.2,-0.15
P7,TB1,Qx,0.22,0.1,0.12
P7,TB1,Qy,-49.23,-49.3,0.07
P7,TB1,T,0.36,0.1,0.26
P7,TB2,N,0.64,0.4,0.24
P7,TB2,Mx,-0.0,0.0,-0.0
P7,TB2,My,0.43,0.5,-0.07
P7,TB2,Qx,0.0,0.0,0.0
P7,TB2,Qy,-0.14,-0.1,-0.04
P7,TB2,T,0.0,0.0,0.0
P7,TB3,N,-0.64,-0.4,-0.24
P7,TB3,Mx,0.0,0.0,0.0
P7,TB3,My,-0.43,-0.5,0.07
P7,TB3,Qx,-0.0,0.0,-0.0
P7,TB3,Qy,0.14,0.1,0.04
P7,TB3,T,-0.0,0.0,-0.0
P8,PP,N,76.18,74.2,1.98
P8,PP,Mx,0.0,0.0,0.0
P8,PP,My,-6.43,-6.6,0.17
P8,PP,Qx,-0.0,0.0,-0.0
P8,PP,Qy,1.48,1.5,-0.02
P8,PP,T,0.0,0.0,0.0
P8,CM,N,23.57,23.4,0.17
P8,CM,Mx,-0.0,0.0,-0.0
P8,CM,My,-2.35,-2.5,0.15
P8,CM,Qx,0.0,0.0,0.0
P8,CM,Qy,0.54,0.6,-0.06
P8,CM,T,0.0,0.0,0.0
P8,Qa,N,202.07,200.6,1.47
P8,Qa,Mx,-0.0,0.0,-0.0
P8,Qa,My,-20.13,-21.5,1.37
P8,Qa,Qx,0.0,0.0,0.0
P8,Qa,Qy,4.64,5.0,-0.36
P8,Qa,T,0.0,0.0,0.0
P8,TB1,N,-143.69,-143.6,-0.09
P8,TB1,Mx,0.71,0.4,0.31
P8,TB1,My,161.33,161.4,-0.07
P8,TB1,Qx,-0.22,-0.1,-0.12
P8,TB1,Qy,-49.3,-49.3,0.0
P8,TB1,T,0.36,0.1,0.26
P8,TB2,N,-0.55,-0.5,-0.05
P8,TB2,Mx,0.0,0.0,0.0
P8,TB2,My,0.54,0.5,0.04
P8,TB2,Qx,-0.0,0.0,-0.0
P8,TB2,Qy,-0.16,-0.2,0.04
P8,TB2,T,0.0,0.0,0.0
P8,TB3,N,0.55,0.5,0.05
P8,TB3,Mx,-0.0,0.0,-0.0
P8,TB3,My,-0.54,-0.5,-0.04
P8,TB3,Qx,0.0,0.0,0.0
P8,TB3,Qy,0.16,0.2,-0.04
P8,TB3,T,-0.0,0.0,-0.0
P13,PP,N,81.21,79.3,1.91
P13,PP,Mx,-0.49,-0.2,-0.29
P13,PP,My,6.2,6.3,-0.1
P13,PP,Qx,0.12,0.0,0.12
P13,PP,Qy,-1.44,-1.5,0.06
P13,PP,T,0.0,0.0,0.0
P13,CM,N,25.0,24.9,0.11
P13,CM,Mx,-0.2,-0.1,-0.1
P13,CM,My,2.27,2.4,-0.13
P13,CM,Qx,0.05,0.0,0.05
P13,CM,Qy,-0.53,-0.6,0.07
P13,CM,T,0.0,0.0,0.0
P13,Qa,N,214.33,213.7,0.63
P13,Qa,Mx,-1.73,-0.4,-1.33
P13,Qa,My,19.46,20.4,-0.94
P13,Qa,Qx,0.4,0.1,0.3
P13,Qa,Qy,-4.52,-4.7,0.18
P13,Qa,T,0.0,0.0,0.0
P13,TB1,N,151.33,151.6,-0.27
P13,TB1,Mx,-0.72,-0.2,-0.52
P13,TB1,My,153.12,153.0,0.12
P13,TB1,Qx,0.22,0.1,0.12
P13,TB1,Qy,-47.18,-47.2,0.02
P13,TB1,T,0.36,0.1,0.26
P13,TB2,N,57.99,58.1,-0.11
P13,TB2,Mx,-0.0,-0.0,-0.0
P13,TB2,My,-2.73,-2.7,-0.03
P13,TB2,Qx,0.0,0.0,0.0
P13,TB2,Qy,0.59,0.6,-0.01
P13,TB2,T,0.0,0.0,0.0
P13,TB3,N,-57.99,-58.1,0.11
P13,TB3,Mx,0.0,0.0,0.0
P13,TB3,My,2.73,2.7,0.03
P13,TB3,Qx,-0.0,-0.0,-0.0
P13,TB3,Qy,-0.59,-0.6,0.01
P13,TB3,T,-0.0,0.0,-0.0
P14,PP,N,74.63,72.4,2.23
P14,PP,Mx,-0.48,-0.2,-0.28
P14,PP,My,-6.31,-6.4,0.09
P14,PP,Qx,0.11,0.0,0.11
P14,PP,Qy,1.45,1.5,-0.05
P14,PP,T,0.0,0.0,0.0
P14,CM,N,22.95,22.7,0.25
P14,CM,Mx,-0.2,-0.1,-0.1
P14,CM,My,-2.3,-2.4,0.1
P14,CM,Qx,0.04,0.0,0.04
P14,CM,Qy,0.53,0.6,-0.07
P14,CM,T,0.0,0.0,0.0
P14,Qa,N,196.67,194.4,2.27
P14,Qa,Mx,-1.68,-0.5,-1.18
P14,Qa,My,-19.7,-20.7,1.0
P14,Qa,Qx,0.39,0.1,0.29
P14,Qa,Qy,4.54,4.8,-0.26
P14,Qa,T,0.0,0.0,0.0
P14,TB1,N,-150.58,-150.9,0.32
P14,TB1,Mx,0.7,0.3,0.4
P14,TB1,My,160.58,160.7,-0.12
